Ticker,Name,Market Cap,P/E ttm,EPS ttm,Net Income(a),Beta,Dividend(a),Div Yield,Last,Wtd Alpha,YTD %Chg,1M %Chg,3M %Chg,52W %Chg,Opinion,20D Rel Str,20D His Vol,20D Avg Vol,52W Low,52W High
BR,Broadridge Financial Solutions Llc,13685146000,26.14,4.66,482100000,0.70,2.16,0.0181,119.57,3.70,0.2423,-0.0823,-0.0888,-0.0447,-0.24,0.3688,0.1713,596030,91.34,136.99
BRK.B,Berkshire Hathaway Cl B,500238000000,21.00,9.87,4021000000,0.84,0.00,0.0000,204.09,-1.30,-0.0004,-0.0031,-0.0513,-0.0809,-0.08,0.4705,0.1453,3997455,186.10,224.07
BRKR,Bruker Corp,6551652000,28.78,1.52,179700000,1.39,0.16,0.0038,42.36,29.00,0.4229,-0.0128,-0.1558,0.2748,-0.08,0.4462,0.2656,657440,26.10,51.41
BRO,Brown & Brown,9931820000,26.41,1.37,344260000,0.68,0.32,0.0091,35.31,26.50,0.2812,-0.0407,0.0226,0.1974,0.40,0.4625,0.1875,1334630,25.72,37.20
BRX,Brixmor Property Group Inc,6087973000,11.43,1.19,366280000,0.74,1.12,0.0548,20.44,34.90,0.3914,0.0618,0.1188,0.2365,1.00,0.6817,0.0997,2950950,14.11,20.68
BSX,Boston Scientific Corp,52751888000,27.26,1.48,1671000000,0.78,0.00,0.0000,37.87,-1.00,0.0716,-0.1284,-0.1112,0.0153,-0.24,0.3529,0.3374,6551320,31.56,43.84
BURL,Burlington Stores Inc,12763132000,29.04,6.66,414750000,0.24,0.00,0.0000,192.59,26.40,0.1839,-0.0403,0.0907,0.2683,0.88,0.5091,0.1819,752265,136.30,209.36
BWA,Borgwarner Inc,7046291000,8.30,4.21,930700000,1.85,0.68,0.0199,34.12,-14.20,-0.0178,-0.0367,-0.1525,-0.1922,-0.80,0.4198,0.2417,1558850,30.71,44.78
BWXT,Bwx Technologies Inc,5199113000,22.33,2.48,226960000,1.04,0.68,0.0124,54.62,3.30,0.4287,-0.0881,0.0506,-0.1180,0.56,0.3910,0.1505,479285,35.91,61.88
BXP,Boston Properties,19642500000,19.04,3.42,582850000,0.87,3.80,0.0299,127.08,6.30,0.1291,-0.0237,-0.0398,0.0611,-0.64,0.4433,0.1758,1020615,107.84,140.35
BYND,Beyond Meat Inc,8589206000,0.00,-0.13,-29890000,NaN,0.00,0.0000,142.73,NaN,1.1708,-0.0791,-0.0890,1.1708,NaN,0.4368,0.5268,2076430,45.00,239.71
C,Citigroup Inc,150001000000,9.67,7.05,18045000000,1.80,2.04,0.0307,66.40,-2.00,0.2755,0.0065,-0.0665,-0.0853,0.08,0.4645,0.2164,12621630,48.42,73.08
CABO,Cable One Inc,7173835000,44.52,28.35,164760000,0.40,9.00,0.0072,1257.20,49.50,0.5330,-0.0393,0.0353,0.4423,0.72,0.5081,0.1344,33800,767.15,1321.49
CACC,Credit Acceptance,8225192000,13.93,32.09,574000000,0.75,0.00,0.0000,437.58,1.70,0.1462,-0.0212,-0.1046,0.0522,-0.40,0.3904,0.2421,84995,356.12,509.99
CACI,Caci International,5638010000,21.93,10.46,265600000,1.32,0.00,0.0000,226.59,32.90,0.5732,-0.0020,0.0807,0.2325,1.00,0.5449,0.2505,194940,138.39,235.00
CAG,Conagra Brands Inc,13572780000,14.53,1.97,678300000,0.87,0.85,0.0305,27.89,-9.30,0.3057,-0.0269,-0.0204,-0.1951,0.24,0.4417,0.3473,5812010,20.22,37.60
CAH,Cardinal Health,13146483000,8.64,5.28,1363000000,1.32,1.92,0.0428,44.96,-12.50,0.0081,-0.0103,-0.0533,-0.1741,-0.48,0.4458,0.1832,2551175,41.03,58.31
CASY,Casey's General Stor,5941926000,27.60,5.92,203890000,0.54,1.28,0.0079,161.54,31.10,0.2607,-0.0460,0.0247,0.3072,0.40,0.4561,0.2339,302635,116.23,173.31
CAT,Caterpillar Inc,66368624000,10.76,11.18,6147000000,1.52,4.12,0.0349,117.97,-17.20,-0.0716,-0.0385,-0.1251,-0.2307,-0.72,0.3876,0.1929,3535110,111.75,152.61
CB,Chubb Ltd,70859848000,16.68,9.57,3962000000,0.70,3.00,0.0193,155.48,22.20,0.2036,-0.0345,0.0405,0.1419,0.56,0.4640,0.1933,1516660,119.54,162.44
CBOE,CBOE Global Markets Inc,13008719000,24.43,4.84,425200000,0.03,1.44,0.0124,116.48,18.50,0.1906,-0.0187,0.0530,0.1657,0.56,0.5078,0.2517,731160,87.87,122.88
CBRE,CBRE Group Inc,16692356000,14.01,3.60,1063220000,1.69,0.00,0.0000,49.63,20.10,0.2395,-0.0785,-0.0417,0.1800,0.24,0.3988,0.2054,1787855,37.45,56.47
CBS,CBS Corp,13926334000,7.35,5.27,1960000000,1.19,0.72,0.0194,37.17,-36.00,-0.1498,-0.1481,-0.2906,-0.3485,-1.00,0.2645,0.2263,4966205,37.10,59.56
CBSH,Commerce Bancshares,6376301000,15.80,3.75,433540000,0.75,1.04,0.0179,58.10,-5.80,0.0307,0.0071,-0.0191,-0.1200,-0.48,0.4527,0.1541,472635,53.40,67.94
CBT,Cabot Corp,2445955000,11.21,3.86,-113000000,1.51,1.40,0.0331,42.33,-18.10,-0.0142,0.0040,-0.0877,-0.3422,-0.24,0.4575,0.2403,294665,37.11,63.77
CC,Chemours Company,2144884000,3.43,3.89,995000000,2.57,1.00,0.0762,13.12,-65.70,-0.5351,-0.1050,-0.3357,-0.6657,-0.88,0.3863,0.5493,2781050,11.71,41.60
CCI,Crown Castle International Corp,56991696000,23.93,1.73,671000000,0.27,4.50,0.0328,137.08,27.30,0.2619,-0.0639,0.0147,0.2431,0.40,0.4525,0.2098,2002350,103.21,149.47
CCK,Crown Cork & Seal Company,8386411000,12.11,5.22,439000000,1.55,0.00,0.0000,61.88,31.10,0.4886,-0.0483,-0.0079,0.2398,0.24,0.4320,0.2638,1121285,39.05,68.84
CCL,Carnival Corp,21150718000,9.13,4.48,3153000000,1.11,2.00,0.0498,40.13,-34.80,-0.1860,-0.1223,-0.1355,-0.3431,-0.88,0.3125,0.3449,5331700,39.92,62.52
CDAY,Ceridian Hcm Holding Inc,6908467000,189.08,0.26,-63400000,1.47,0.00,0.0000,48.26,23.80,0.3992,-0.1107,-0.0496,0.1999,-0.24,0.3986,0.2490,871185,31.39,58.95
CDEV,Centennial Resource Development Inc,1006238000,8.33,0.46,199900000,1.97,0.00,0.0000,3.64,-82.30,-0.6697,-0.2035,-0.4930,-0.8326,-1.00,0.3662,1.2887,9226530,3.64,22.63
CDK,Cdk Global Inc,5450925000,12.67,3.54,124000000,0.92,0.60,0.0133,44.97,-21.90,-0.0607,0.0012,-0.0998,-0.2316,-0.72,0.4442,0.2858,852445,41.50,63.90
CDNS,Cadence Design Sys,17828938000,43.44,1.51,345780000,1.17,0.00,0.0000,63.64,43.60,0.4637,-0.0909,-0.1443,0.5368,-0.24,0.4086,0.2271,1792830,39.08,77.08
CDW,CDW Corp,17797774000,22.47,5.48,643000000,1.09,1.18,0.0096,122.99,50.80,0.5174,0.0388,0.1140,0.4685,1.00,0.5854,0.2782,3061050,74.32,124.51
CE,Celanese Corp,14582758000,11.55,10.34,1207000000,1.36,2.48,0.0210,117.85,22.90,0.3099,-0.0019,0.1253,0.0791,0.88,0.5035,0.1270,827395,82.91,127.15
CELG,Celgene Corp,70080312000,10.93,9.12,4046000000,1.42,0.00,0.0000,98.88,10.80,0.5428,0.0178,0.0600,0.1302,1.00,0.5637,0.1014,3736565,58.59,100.42
CERN,Cerner Corp,20727450000,28.83,2.30,630060000,0.93,0.72,0.0111,65.10,5.20,0.2414,-0.0336,-0.1269,0.0217,-0.24,0.3504,0.1266,1710755,48.78,76.47
CF,Cf Industries Holdings,10667409000,25.88,1.89,290000000,0.95,1.20,0.0246,48.86,1.00,0.1230,0.0045,0.0734,-0.1169,0.72,0.5005,0.2164,2049120,38.90,55.92
CFG,Citizens Financial Group Inc/Ri,14566095000,8.93,3.80,1721000000,1.47,1.44,0.0442,32.58,-10.80,0.0959,-0.0457,-0.0848,-0.1695,-0.40,0.3912,0.2232,4538590,27.62,39.41
CFR,Cullen/Frost Bankers,5152829000,11.92,7.11,454920000,1.38,2.84,0.0345,82.24,-20.20,-0.0648,-0.0096,-0.1082,-0.2287,-0.88,0.4004,0.2225,421395,79.86,107.23
CFX,Colfax Corp,3167596000,11.67,2.40,140200000,1.59,0.00,0.0000,26.92,-11.40,0.2880,-0.0604,0.0071,-0.2434,0.16,0.4473,0.3103,1317595,18.95,35.55
CGNX,Cognex Cp,7886245000,41.55,1.18,219270000,2.08,0.20,0.0043,46.21,3.10,0.1950,-0.0235,0.0814,-0.0756,NaN,0.4703,0.3504,827050,34.88,57.31
CHD,Church & Dwight Company,18697754000,31.43,2.42,568600000,0.13,0.91,0.0120,75.67,28.30,0.1507,-0.0030,0.0216,0.2654,0.40,0.5152,0.1133,2022970,54.46,80.99
CHE,Chemed Inc,6426434000,32.76,12.70,205540000,1.11,1.28,0.0032,403.62,35.60,0.4248,-0.0823,0.0903,0.2798,0.40,0.4232,0.1887,116785,260.03,441.79
CHH,Choice Hotels International,4872373000,21.13,4.15,216360000,0.93,0.86,0.0098,87.48,15.60,0.2221,-0.0605,-0.0069,0.1155,0.40,0.4234,0.1331,301770,66.71,94.78
CHK,Chesapeake Energy Corp,2092177000,3.02,0.44,873000000,2.45,0.00,0.0000,1.28,-71.30,-0.3905,-0.1899,-0.2928,-0.7259,-0.96,0.4003,0.8938,67899859,1.26,4.98
CHNG,Change Healthcare Inc,1493206000,0.00,0.56,11200000,NaN,0.00,0.0000,11.96,NaN,-0.2027,-0.0793,-0.1903,-0.2027,NaN,0.4137,0.5335,1742645,11.24,15.50
CHRW,C.H. Robinson Ww,11121303000,16.79,4.97,664510000,0.65,2.00,0.0243,82.15,-9.80,-0.0231,-0.0136,-0.0211,-0.1597,-0.48,0.4524,0.2291,1162440,77.72,98.16
CHTR,Charter Communicatio,94807664000,72.89,5.90,1230000000,1.21,0.00,0.0000,428.07,40.60,0.5022,0.0055,0.0718,0.3367,1.00,0.6048,0.1739,1216110,272.91,432.16
CI,Cigna Corp,55580272000,10.29,14.50,2637000000,0.71,0.04,0.0003,147.19,-28.80,-0.2250,-0.0430,-0.0899,-0.3086,-1.00,0.4048,0.2603,2246850,141.95,226.60
CIEN,Ciena Corp,5660326000,21.33,1.76,-344690000,1.06,0.00,0.0000,36.59,4.60,0.0790,-0.0741,-0.1307,0.2522,-0.56,0.3776,0.3603,3321830,28.23,46.78
CIM,Chimera Investment Corp,3696351000,8.73,2.27,411640000,0.58,2.00,0.1013,19.75,14.20,0.1083,0.0186,0.0395,0.1202,0.80,0.5265,0.1726,1670040,16.88,20.54
CINF,Cincinnati Financial,18590902000,31.18,3.72,287000000,0.63,2.24,0.0197,113.82,55.40,0.4702,-0.0097,0.0600,0.4666,0.88,0.5228,0.1844,541330,71.01,117.60
CIT,Cit Group Inc,3999494000,8.92,4.86,447100000,1.61,1.40,0.0331,42.24,-16.10,0.1037,-0.0195,-0.1792,-0.1804,-0.88,0.3864,0.1944,808375,35.50,54.02
CL,Colgate-Palmolive Company,60643864000,25.13,2.85,2400000000,0.75,1.72,0.0243,70.68,11.10,0.1875,-0.0538,-0.0368,0.0816,-0.24,0.4506,0.1927,3387870,57.41,76.41
CLGX,Corelogic,3671740000,22.53,2.08,121860000,0.76,0.00,0.0000,45.82,8.30,0.3710,-0.0636,0.0698,-0.0211,0.40,0.4766,0.1984,592960,31.87,49.49
CLH,Clean Harbors,4029325000,46.30,1.58,65640000,1.58,0.00,0.0000,72.13,11.40,0.4616,-0.0286,0.0233,0.0225,0.56,0.4231,0.2240,295310,46.21,80.06
CLNY,Colony Capital Inc,2716484000,13.44,-2.16,-519610000,1.44,0.44,0.0790,5.57,3.70,0.1902,0.0610,0.0858,-0.0591,0.56,0.5350,0.3247,3607655,4.32,6.28
CLR,Continental Resources,10221666000,10.94,2.61,988320000,1.65,0.00,0.0000,27.30,-55.70,-0.3207,-0.0993,-0.3340,-0.5858,-0.88,0.3820,0.9025,4338940,27.26,66.52
CLX,Clorox Company,18794958000,23.84,6.34,820000000,0.40,4.24,0.0283,149.80,-0.50,-0.0282,-0.0755,-0.0451,-0.0005,-0.40,0.4198,0.2032,1172215,141.53,167.70
CMA,Comerica Inc,9309671000,8.18,7.83,1235000000,1.53,2.68,0.0430,62.33,-27.30,-0.0926,0.0117,-0.1329,-0.3261,-0.72,0.4371,0.2470,1643690,58.54,92.54
CMCSA,Comcast Corp A,200479000000,15.76,2.83,11731000000,1.08,0.84,0.0190,44.11,24.40,0.2954,-0.0483,0.0347,0.2538,0.56,0.4508,0.1406,16185125,32.61,47.27
CMD,Cantel Medical,2868832000,30.00,2.37,55040000,1.04,0.20,0.0029,68.68,-20.90,-0.0775,-0.1784,-0.1333,-0.2300,-0.24,0.3066,0.4105,396630,63.47,93.87
CME,CME Group Inc,75966056000,32.32,6.60,1962200000,0.20,3.00,0.0141,212.14,21.50,0.1277,-0.0490,0.0502,0.1726,0.72,0.5095,0.2245,1354170,161.05,224.91
CMG,Chipotle Mexican Grill,22341404000,72.24,11.27,176550000,0.70,0.00,0.0000,805.88,76.90,0.8664,-0.0364,0.0762,0.7966,0.64,0.4789,0.2401,486660,383.20,857.90
CMI,Cummins Inc,24163348000,9.78,16.00,2141000000,1.14,5.24,0.0342,153.14,2.80,0.1459,-0.0114,-0.0942,0.0020,-0.48,0.4381,0.1853,1263500,124.40,175.91
CMS,Cms Energy Corp,18190746000,31.14,2.07,657000000,0.09,1.53,0.0239,64.10,32.20,0.2910,0.0214,0.0887,0.2756,1.00,0.5809,0.1248,1931585,47.63,65.31
CNA,Cna Financial Corp,12782550000,14.43,3.34,813000000,0.82,1.40,0.0297,47.08,7.00,0.0664,-0.0181,-0.0188,0.0186,0.40,0.4348,0.1777,151730,41.49,50.47
CNC,Centene Corp,17685750000,10.16,4.32,900000000,0.86,0.00,0.0000,42.76,-40.30,-0.2583,-0.0682,-0.1658,-0.4007,-1.00,0.3659,0.2682,5127840,41.62,74.49
CNK,Cinemark Holdings Inc,4295964000,21.39,1.74,213830000,0.69,1.36,0.0371,36.67,-9.40,0.0243,-0.0478,-0.0070,-0.0903,-0.72,0.4039,0.1778,906205,34.49,43.51
CNP,Centerpoint Energy Inc,14152531000,18.48,1.56,368000000,0.48,1.15,0.0408,28.18,-0.70,-0.0018,-0.0112,-0.0336,0.0082,-0.56,0.4155,0.2302,4776020,26.74,31.42
COF,Capital One Financial Corp,39696108000,7.72,11.26,6015000000,1.27,1.60,0.0190,84.40,-6.90,0.1165,-0.0430,-0.0806,-0.1248,-0.24,0.3826,0.1904,2051170,69.90,98.62
COG,Cabot Oil & Gas Corp,7401337000,10.04,1.81,557040000,0.53,0.36,0.0204,17.69,-30.70,-0.2085,0.0080,-0.2580,-0.2735,-0.56,0.4583,0.2884,8035740,16.01,27.65
COHR,Coherent Inc,3617925000,21.35,7.18,247360000,1.78,0.00,0.0000,150.86,18.50,0.4271,-0.0745,0.1779,-0.0173,0.80,0.5051,0.3290,309030,90.10,173.92
COLD,Americold Realty Trust,7183379000,31.21,0.19,47990000,0.66,0.80,0.0213,37.48,53.60,0.4675,0.0174,0.0927,0.4920,1.00,0.5920,0.1894,2230765,23.28,37.88
COLM,Columbia Sprtswr,6449666000,21.90,4.39,268260000,0.70,0.96,0.0101,95.47,6.00,0.1353,-0.0077,-0.0619,0.0655,-0.80,0.4725,0.2099,277315,80.03,109.74
COMM,Commscope Holding Company,2127402000,5.48,2.04,140220000,1.51,0.00,0.0000,10.96,-57.00,-0.3313,-0.0275,-0.2943,-0.6067,-0.80,0.4271,0.6060,4456610,9.52,27.55
CONE,Cyrusone Inc,8735027000,22.91,-0.60,1200000,0.53,2.00,0.0259,77.17,43.50,0.4593,0.0424,0.2887,0.2521,1.00,0.6207,0.1933,926975,48.94,79.73
COO,Cooper Companies,14181635000,24.66,11.92,139900000,0.91,0.06,0.0002,286.07,5.90,0.1240,-0.0554,-0.1344,0.0907,-0.56,0.3598,0.1879,353505,228.65,344.32
COP,Conocophillips,59836652000,12.13,4.50,6257000000,1.05,1.22,0.0226,53.90,-26.90,-0.1355,0.0050,-0.1000,-0.3114,-0.80,0.4381,0.4203,8082725,50.13,79.96
COR,Coresite Realty Corp,4362360000,23.79,2.13,77920000,0.48,4.88,0.0413,118.25,19.50,0.3556,-0.0073,-0.0106,0.1160,0.72,0.5192,0.2718,272695,82.64,122.45
COST,Costco Wholesale,128370000000,35.78,8.20,3659000000,0.94,2.60,0.0089,291.89,33.20,0.4329,-0.0391,0.0835,0.3035,1.00,0.5550,0.1466,2572330,189.51,307.34
COTY,Coty Inc,7677716000,16.16,0.64,-3784200000,0.75,0.50,0.0491,10.18,-5.40,0.5518,0.0160,-0.1109,-0.1467,-0.40,0.4831,0.2854,3083310,5.91,14.14
COUP,Coupa Software Inc,8972722000,0.00,-0.81,-55520000,1.58,0.00,0.0000,142.78,121.00,1.2714,-0.0392,0.0457,1.1193,0.80,0.5308,0.4727,2332560,52.01,156.16
CPA,Copa Holdings S.A.,4215280000,17.47,5.71,88100000,1.32,2.60,0.0260,99.90,27.70,0.2692,-0.0152,-0.0070,0.1876,0.40,0.5202,0.2957,294895,67.38,113.62
CPB,Campbell Soup Company,14086517000,18.50,2.54,211000000,0.44,1.40,0.0299,46.77,31.90,0.4177,0.0398,0.1270,0.2227,1.00,0.5932,0.1445,2347765,32.03,48.03
CPRI,Capri Holdings Ltd,4232086000,6.25,4.61,543000000,0.83,0.00,0.0000,27.92,-54.70,-0.2637,-0.0053,-0.1907,-0.5895,-0.88,0.3768,0.3391,2777335,25.25,68.65
CPRT,Copart Inc,18614838000,35.45,2.25,591690000,0.82,0.00,0.0000,80.15,60.10,0.6775,-0.0151,0.0811,0.5636,0.80,0.5335,0.1753,1542085,44.61,83.70
CPT,Camden Property Trust,10918213000,22.83,1.64,156130000,0.41,3.20,0.0284,112.76,26.80,0.2806,0.0163,0.0412,0.1996,1.00,0.6238,0.1077,440385,83.67,113.59
CR,Crane Company,4488307000,12.17,6.29,335600000,1.35,1.56,0.0208,74.87,-16.50,0.0373,-0.0426,-0.1060,-0.2225,-0.88,0.3901,0.1844,226195,67.18,96.66
CREE,Cree Inc,4886898000,190.19,0.26,-375100000,0.91,0.00,0.0000,45.66,8.40,0.0674,-0.0035,-0.2296,0.2793,-1.00,0.4000,0.4433,1396370,33.72,69.21
CRI,Carter's Inc,3962085000,14.28,6.27,282070000,0.90,2.00,0.0226,88.56,-7.80,0.0850,-0.0779,-0.0568,-0.1012,-0.88,0.4615,0.2871,701595,75.66,109.71
CRL,Charles River Laboratories Intl,6319529000,21.80,6.05,226370000,1.09,0.00,0.0000,129.48,2.30,0.1440,-0.0385,-0.0773,0.0091,-0.40,0.4523,0.2155,392410,103.00,149.07
CRM,Salesforce.com Inc,127963000000,101.92,1.46,1110000000,1.23,0.00,0.0000,145.91,-2.50,0.0653,-0.0342,-0.0452,-0.0184,-0.88,0.4300,0.2135,4172635,113.60,167.56
CSCO,Cisco Systems Inc,196939000000,16.94,2.82,11621000000,1.28,1.40,0.0302,46.39,-5.00,0.0706,-0.0502,-0.1744,-0.0238,-0.88,0.3830,0.2167,19983789,40.25,58.26
CSGP,Costar Group Inc,21121296000,67.53,8.77,238330000,1.36,0.00,0.0000,577.89,48.10,0.7131,-0.0619,0.0274,0.5006,0.24,0.4510,0.2781,295740,315.85,639.41
CSL,Carlisle Companies Inc,7815590000,19.11,7.29,611100000,1.00,2.00,0.0145,138.07,27.60,0.3736,-0.0390,0.0054,0.1910,0.40,0.4399,0.2787,350625,92.16,149.45
CSX,CSX Corp,52563884000,16.06,4.16,3309000000,1.24,0.96,0.0146,65.86,-9.50,0.0600,-0.0247,-0.1472,-0.1191,-0.72,0.4044,0.1933,5064290,58.47,80.73
CTAS,Cintas Corp,27289612000,32.66,7.99,884980000,1.00,2.05,0.0079,260.33,41.90,0.5497,-0.0220,0.0926,0.3387,0.88,0.5219,0.2409,707115,155.98,270.36
CTL,Centurylink,12380229000,8.51,1.35,-1733000000,0.85,1.00,0.0881,11.35,-39.60,-0.2508,-0.0381,-0.0283,-0.4661,-0.24,0.4213,0.3821,12883600,9.64,22.08
CTLT,Catalent Inc,6976411000,28.12,1.73,137400000,1.70,0.00,0.0000,47.70,15.00,0.5298,-0.0911,-0.1256,0.0799,-0.08,0.3850,0.2488,762790,29.23,58.38
CTSH,Cognizant Tech Sol,32529942000,15.34,3.93,2101000000,1.07,0.80,0.0136,58.90,-19.60,-0.0721,-0.0861,-0.0826,-0.2052,-1.00,0.3869,0.1857,3435325,56.73,74.85
CTVA,Corteva Inc,19635974000,0.00,1.42,-4991000000,NaN,0.52,0.0198,26.22,NaN,-0.0959,-0.0764,-0.0558,-0.0959,NaN,0.3671,0.2472,4671680,24.35,32.78
CTXS,Citrix Systems Inc,12537793000,23.55,4.11,575670000,1.02,1.40,0.0146,95.78,-7.00,-0.0652,0.0145,-0.0323,-0.1034,-0.40,0.5142,0.1136,1744975,90.28,112.27
CUBE,Cubesmart,6766542000,20.96,0.94,163890000,0.16,1.28,0.0364,35.16,25.00,0.2255,-0.0228,0.0144,0.2473,0.48,0.5044,0.1410,1221250,27.25,36.32
CUZ,Cousins Properties Inc,5368591000,13.13,0.52,79160000,0.90,1.16,0.0317,36.58,8.10,0.1576,0.0466,-0.0217,0.0416,0.08,0.5245,0.1773,1108810,30.12,40.40
CVET,Covetrus Inc,1218902000,0.00,0.26,100860000,NaN,0.00,0.0000,10.89,-71.20,-0.7346,-0.1853,-0.5513,-0.7346,NaN,0.2967,0.3740,1597505,10.75,43.83
CVNA,Carvana Co. Cl A,10034981000,0.00,-1.88,-61750000,2.17,0.00,0.0000,66.39,36.30,1.0297,-0.2060,-0.0033,0.2607,0.08,0.4092,0.4003,1643585,28.44,85.07
CVS,CVS Corp,78524008000,8.40,7.38,-594000000,0.86,2.00,0.0331,60.38,-13.20,-0.0784,-0.0297,0.0917,-0.2434,0.40,0.4613,0.1717,6237435,51.72,82.15
CVX,Chevron Corp,212072000000,14.46,7.83,14824000000,0.99,4.76,0.0426,111.71,-7.70,0.0268,-0.0554,-0.0962,-0.1052,-0.56,0.3369,0.1950,6429070,100.22,127.60
CW,Curtiss-Wright Corp,5306210000,18.64,6.80,275750000,1.18,0.68,0.0055,124.18,7.60,0.2160,-0.0289,-0.0167,-0.0521,0.56,0.4483,0.1621,196965,95.23,134.41
CXO,Concho Resources Inc,12456844000,16.78,3.77,2286000000,1.20,0.50,0.0081,61.95,-58.00,-0.3973,-0.1109,-0.3857,-0.6039,-1.00,0.3311,0.3151,2285945,61.37,160.81
CXP,Columbia Property Trust Inc,2388451000,13.29,0.53,9490000,0.90,0.80,0.0392,20.43,-6.50,0.0558,-0.0524,-0.0399,-0.1075,-1.00,0.3976,0.1790,517235,18.08,23.21
CY,Cypress Semiconductor,8641971000,22.09,1.06,354590000,1.82,0.44,0.0188,23.40,70.80,0.8396,0.0108,0.0489,0.7155,1.00,0.6427,0.0373,3994575,11.75,23.44
CZR,Caesars Entertainment Corp,7875653000,0.00,-0.59,303000000,1.48,0.00,0.0000,11.62,32.70,0.7113,0.0096,-0.0405,0.2168,0.64,0.4954,0.1064,10194096,5.84,12.23
D,Dominion Resources,64849400000,20.76,3.91,2447000000,0.22,3.67,0.0455,80.72,13.90,0.1296,0.0570,0.0328,0.1059,1.00,0.5757,0.1423,3684670,67.41,81.76
DAL,Delta Air Lines Inc,34590692000,8.32,6.41,3935000000,1.16,1.61,0.0303,53.20,-1.10,0.0661,-0.0824,-0.1039,0.0203,-0.24,0.3307,0.2275,6796860,45.08,63.44
DBX,Dropbox Inc,7967996000,0.00,-0.10,-484900000,1.57,0.00,0.0000,19.27,-22.20,-0.0565,0.0161,-0.2275,-0.1565,-0.72,0.4385,0.2759,3507835,17.20,27.15
DCI,Donaldson Company,6251278000,22.81,2.22,267200000,1.42,0.84,0.0170,49.55,-4.30,0.1420,-0.0178,0.0028,-0.1330,0.40,0.4658,0.2083,442650,40.27,57.31
DD,Du Pont De.Nemours Inc,48396688000,7.99,8.35,3844000000,1.45,1.20,0.0185,64.92,-24.00,-0.1459,-0.0621,-0.0997,-0.2768,-0.88,0.3854,0.2688,3702625,63.28,89.31
DE,Deere & Company,51944596000,16.54,10.07,2368400000,1.16,3.04,0.0184,164.97,11.60,0.1059,0.0540,0.0066,0.0725,0.72,0.5414,0.1558,1892115,128.32,171.22
DEI,Douglas Emmett,7392045000,20.44,0.70,116090000,0.67,1.04,0.0247,42.18,15.90,0.2359,-0.0040,0.0303,0.1206,0.80,0.5089,0.1302,980725,32.32,43.13
DELL,Dell Technologies Inc,35370120000,5.35,9.45,-2310000000,0.94,0.00,0.0000,48.81,-1.20,-0.0012,-0.0853,-0.0484,0.0744,NaN,0.4168,0.2696,2180445,42.02,70.55
DFS,Discover Financial Services,23922176000,9.09,8.55,2742000000,1.61,1.76,0.0234,75.17,0.50,0.2745,-0.0861,-0.0637,-0.0238,-0.08,0.3474,0.1911,1751840,54.36,92.98
DG,Dollar General Corp,41089748000,25.32,6.32,1589470000,0.54,1.28,0.0080,159.84,56.50,0.4789,-0.0105,0.1535,0.5172,1.00,0.6250,0.1768,1686245,98.08,162.34
DGX,Quest Diagnostics Inc,13755192000,16.96,6.17,736000000,0.87,2.12,0.0208,102.14,6.40,0.2266,-0.0199,-0.0032,-0.0082,0.56,0.4478,0.1680,848015,78.95,107.97
DHI,D.R. Horton,19570874000,12.55,4.17,1460300000,1.04,0.60,0.0113,52.92,46.60,0.5268,0.0557,0.2003,0.3018,1.00,0.6408,0.1585,4752060,32.39,53.53
DHR,Danaher Corp,97289440000,30.10,4.64,2650900000,0.94,0.68,0.0050,135.62,26.60,0.3152,-0.0603,-0.0557,0.2842,0.24,0.4278,0.2516,2377500,94.59,147.33
DIS,Walt Disney Company,231423000000,20.84,6.28,12598000000,0.96,1.76,0.0137,128.47,10.80,0.1716,-0.0794,-0.0890,0.1073,-0.24,0.3890,0.1626,8495550,100.35,147.15
DISCA,Discovery Comm A,14424318000,8.80,3.11,594000000,1.53,0.00,0.0000,26.83,-15.10,0.0845,-0.0187,-0.1428,-0.1872,-0.88,0.4487,0.2091,3790000,23.79,34.89
DISCK,Discovery Comm Inc,13418970000,8.18,3.11,594000000,1.41,0.00,0.0000,24.96,-14.30,0.0815,-0.0277,-0.1333,-0.1743,-0.88,0.4436,0.2042,2939690,21.99,31.55
DISH,Dish Network Corp,15076414000,12.23,2.71,1575090000,1.40,0.00,0.0000,32.08,-4.40,0.2847,-0.1014,-0.1948,-0.0699,-0.56,0.3840,0.2311,2513130,23.22,44.65
DKS,Dick's Sporting Goods Inc,3469611000,11.36,3.34,319860000,0.60,1.10,0.0287,38.39,15.30,0.2304,0.0820,0.0401,0.1487,0.48,0.5406,0.2358,1888610,29.69,41.53
DLB,Dolby Laboratories,6115670000,32.04,1.97,122250000,0.84,0.76,0.0125,60.69,-11.30,-0.0186,-0.0269,-0.0433,-0.1162,-0.48,0.4218,0.2289,357295,56.09,71.77
DLR,Digital Realty Trust,26876248000,19.20,0.96,331250000,0.40,4.32,0.0335,129.00,21.20,0.2107,0.0030,0.0712,0.1648,1.00,0.5708,0.1861,1668885,100.05,130.67
DLTR,Dollar Tree Inc,26615580000,21.69,5.17,-1590800000,0.57,0.00,0.0000,112.48,35.30,0.2453,0.0261,0.0201,0.3670,0.56,0.5734,0.2206,1898750,78.78,116.59
DNKN,Dunkin' Brands Group,6149182000,24.88,3.04,229910000,0.45,1.50,0.0202,74.34,1.20,0.1594,-0.0944,-0.0835,0.0393,-0.24,0.3228,0.1583,463490,61.69,84.74
